branch_key,name,address,city,state,zip,country,latitude,longitude,phone,hours_mon_fri,hours_sat_sun,time_zone,products,detail_url
1902,Riverside Branch,2800 E La Cadena Dr.,Riverside,CA,92507-2645,UNITED STATES,33.987896461532095,-117.3608779,(951) 900-3118,6:00 AM - 4:00 PM,,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CA/Riverside/Riverside-CA-92507-1902
134,Rosemead Branch,8650 Garvey Ave,Rosemead,CA,91770-3269,UNITED STATES,34.0623185,-118.0800731,(626) 288-2922,6:00 AM - 3:00 PM,,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Waterproofing,https://locations.qxo.com/CA/Rosemead/Rosemead-CA-91770/134
112,San Bernardino,1515 S WATERMAN AVE,SAN BERNARDINO,CA,92408,UNITED STATES,34.0730079,-117.2779962,(909) 386-3600,6:00 AM - 3:00 PM,6:30 AM - 10:30 AM,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CA/San-Bernardino/San-Bernardino-CA-92408-112
2326,SAN JOSE BRANCH - WPR,1202 S 6TH ST,SAN JOSE,CA,95112-5922,UNITED STATES,37.32041998290994,-121.87229423558223,(408) 275-2876,7:00 AM - 3:00 PM,,America/Los_Angeles,Waterproofing,
143,STOCKTON BRANCH,2081 E CHARTER WAY,STOCKTON,CA,95205-7025,UNITED STATES,37.9446661,-121.2585716,(209) 946-4214,6:30 AM - 4:00 PM,,America/Los_Angeles,Residential roofing; Commercial roofing; Metal roofing; Siding,https://locations.qxo.com/CA/Stockton/Stockton-CA-95205/143
105,Sacramento Branch,5050 84Th St,Sacramento,CA,95826-4827,UNITED STATES,38.5286159,-121.3962824,(916) 381-1111,6:00 AM - 4:00 PM,,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CA/Sacramento/Sacramento-CA-95826/105
2325,Sacramento - Waterproofing,8330 Belvedere Avenue,Sacramento,CA,95826-5902,UNITED STATES,38.537420508763255,-121.3988549,(916) 388-5775,6:00 AM - 3:00 PM,,America/Los_Angeles,Waterproofing,
1904,Salinas Branch,12328 Christensen Rd,Salinas,CA,93907-1682,UNITED STATES,36.741085137056125,-121.6614327,(831) 741-2375,6:30 AM - 3:30 PM,7:00 AM  - 11:00 AM,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CA/Salinas/Salinas-CA-93907-1904
1907,San Carlos Branch - Al'S,266 Industrial Road,San Carlos,CA,94070-6226,UNITED STATES,37.517995116654006,-122.2640242,(650) 473-1788,7:00 AM - 4:00 PM,,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,
672,San Diego - Waterproofing,8840 Complex Dr.,San Diego,CA,92123,UNITED STATES,32.830525,-117.135983,(858) 430-1260,5:30 AM - 3:30 PM,,America/Los_Angeles,Waterproofing,https://locations.qxo.com/CA/San-Diego/San-Diego-CA-92123/672
148,San Diego Branch,5660 Kearny Villa Road,San Diego,CA,92123-1110,UNITED STATES,32.8375521,-117.1358047,(858) 715-0808,6:00 AM - 3:00 PM,6:30 AM - 10:30 AM,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CA/San-Diego/San-Diego--CA-92123/148
121,San Jose Branch,200 San Jose Ave,San Jose,CA,95125,UNITED STATES,37.3094187,-121.8744504,(408) 293-5947,7:00 AM - 3:00 PM,,America/Los_Angeles,Commercial roofing; Residential roofing; Siding; Metal roofing,
142,San Jose Branch,1202 S 6Th St,San Jose,CA,95112-5922,UNITED STATES,37.3202836,-121.8724492,(408) 491-7663,7:00 AM - 3:00 PM,,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CA/San-Jose/San-Jose-CA-95112/142
1908,San Jose Branch - Al'S,1854 South 7Th St.,San Jose,CA,95112-6005,UNITED STATES,37.31158032568456,-121.8608576,(408) 286-7220,,,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,
140,San Leandro Branch,1588 Doolittle Drive,San Leandro,CA,94577-2228,UNITED STATES,37.7113641,-122.1835627,(510) 568-5585,6:30 AM - 3:00 PM,6:30 AM to 10:30 AM,America/Los_Angeles,Commercial roofing; Residential roofing; Siding; Metal roofing,https://locations.qxo.com/CA/San-Leandro/San-Leandro--CA-94577/140
149,Santa Ana Branch,2734 S. Susan Street,Santa Ana,CA,92704-5818,UNITED STATES,33.71029,-117.9136409,(714) 557-2930,6:00 AM - 3:00 PM,,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,
115,Santa Ana Branch,1201 E Mcfadden Ave,Santa Ana,CA,92705,UNITED STATES,33.7341343,-117.8526408,(714) 567-0198,6:00 AM - 4:00 PM,,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CA/Ana/Santa/Santa-Ana-CA-92705-115
688,Santa Rosa Branch,4159 Santa Rosa Ave,Santa Rosa,CA,95407-8276,UNITED STATES,38.3777529,-122.7141007,(707) 584-7599,7:00 AM - 4:00 PM,,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CA/Santa-Rosa/Santa-Rosa-CA-95407/688
670,Sun Valley - Waterproofing,8501 Telfair Ave,Sun Valley,CA,91352-3928,UNITED STATES,34.2238315,-118.3839038,(800) 225-8231,5:00 AM - 3:30 PM,,America/Los_Angeles,Waterproofing,https://locations.qxo.com/CA/Sun-Valley/Sun-Valley-CA-91352/670
113,Sun Valley Branch,11731 Sheldon St.,Sun Valley,CA,91352,UNITED STATES,34.2439669,-118.3881872,(818) 767-4331,6:00 AM - 4:00 PM,7:00 AM - 11:00 AM,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CA/Sun-Valley/Sun-Valley-CA-91352/113
130,Van Nuys Branch,15208 Raymer St,Van Nuys,CA,91405-1016,UNITED STATES,34.214729746564785,-118.464487,(818) 781-3280,6:00 AM - 3:00 PM,6:30 AM - 10:30 AM,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CA/Van-Nuys/Van-Nuys-CA-91405/130
114,Vista Branch,2270 La Mirada Dr.,Vista,CA,92081,UNITED STATES,33.1516181,-117.2303845,(760) 510-8320,6:00 AM - 3:00 PM,,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CA/Vista/Vista-CA-92081/114
1911,Walnut Branch,249 South Paseo Tesoro,Walnut,CA,91789-2724,UNITED STATES,34.0146356,-117.8584722,(909) 598-8408,6:00 AM - 3:00 PM,,America/Los_Angeles,Residential roofing; Commercial roofing; Siding; Metal roofing,
674,Sacramento - Waterproofing,920 Stillwater Rd. #140,West Sacramento,CA,95605,UNITED STATES,38.6581628,-121.4315188,(866) 270-7333,7:00 AM - 4:00 PM,,America/Los_Angeles,Waterproofing,https://locations.qxo.com/CA/West-Sacramento/West-Sacramento-CA-95605/674
300,Denver Hub Branch,14200 E Moncrieff Place,Aurora,CO,80011-1647,UNITED STATES,39.7639011,-104.8233002,(720) 302-9965,7:00 AM - 4:00 PM,,America/Denver,,https://locations.qxo.com/CO/Aurora/Denver-CO-80011/300
934,Centennial Branch,6978 South Clinton Street,Centennial,CO,80112,UNITED STATES,39.5900225,-104.8781905,(303) 790-7670,7:00 AM - 5:00 PM,,America/Denver,Residential roofing; Siding; Commercial roofing; Metal roofing,https://locations.qxo.com/CO/Centennial/Centennial-CO-80112/934
181,Colorado Springs Branch,4850 Lorna Place,Colorado Springs,CO,80915,UNITED STATES,38.8457498,-104.7371001,(719) 591-7070,7:00 AM - 4:30 PM,,America/Denver,Residential roofing; Commercial roofing; Siding; Metal roofing,
685,Colorado Springs Branch,3170 North Century St,Colorado Springs,CO,80907-5409,UNITED STATES,38.8774423,-104.8145458,(719) 632-4298,7:00 AM - 4:00 PM,,America/Denver,Residential roofing; Commercial roofing; Metal roofing; Siding,
184,Denver Branch,1205 S Platte River Dr. Unit 104,Denver,CO,80223-3100,UNITED STATES,39.6942338,-104.9948379,(303) 744-7111,7:00 AM - 4:00 PM,,America/Denver,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CO/Denver/Denver-CO-80223/184
2305,Denver South - Waterproofing,861 S Jason St,Denver,CO,80223-2817,UNITED STATES,39.70151769,-104.9992708,(303) 777-3435,6:00 AM - 4:00 PM,,America/Denver,Waterproofing,
931,Denver Branch,4343 Holly Street,Denver,CO,80216,UNITED STATES,39.7769605,-104.922733,(303) 322-9009,7:00 AM - 5:00 PM,,America/Denver,Residential roofing; Siding; Commercial roofing,
683,Denver Branch,5252 Sherman St,Denver,CO,80216,UNITED STATES,39.7930543,-104.9844765,(303) 296-2222,7:00 AM - 4:00 PM,,America/Denver,Commercial roofing; Residential roofing; Siding; Metal roofing,https://locations.qxo.com/CO/Denver/Denver-CO-80216/683/Commercial-Products
2306,Denver North - Waterproofing,601 East 64Th Ave Unit B100,Denver,CO,80229-7021,UNITED STATES,39.81190423,-104.981739,(720) 644-6363,6:00 AM - 4:00 PM,,America/Denver,Waterproofing,
152,Fort Collins Branch,2155 Midpoint Dr,Fort Collins,CO,80525-4305,UNITED STATES,40.5644749,-105.0375684,(970) 495-6797,7:00 AM - 4:00 PM,,America/Denver,Residential roofing; Commercial roofing; Siding; Metal roofing,
1101,Longmont Branch,7500 Johnson Dr.,Frederick,CO,80504-3415,UNITED STATES,40.11439950227962,-104.9750984,(983) 200-6674,7:00 AM - 4:00 PM,,America/Denver,Residential roofing; Siding; Commercial roofing; Metal roofing,https://locations.qxo.com/CO/Frederick/Frederick-CO-80504-1101
173,Grand Junction Branch,2495 West Mesa Ct,Grand Junction,CO,81505-1325,UNITED STATES,39.0878364,-108.5907509,(970) 242-6621,7:00 AM - 4:00 PM,,America/Denver,Residential roofing; Commercial roofing; Metal roofing; Siding,https://locations.qxo.com/CO/Junction/Grand/Grand-Junction-CO-81505-173
186,Greeley Branch,2303 2Nd Avenue,Greeley,CO,80631,UNITED STATES,40.400520040643016,-104.6809624,(303) 456-2721,7:00 AM - 4:00 PM,,America/Denver,Residential roofing; Siding; Commercial roofing; Metal roofing,https://locations.qxo.com/CO/Greeley/Greeley-CO-80631/186
188,Montrose Branch,4584 N. Townsend,Montrose,CO,81401,UNITED STATES,38.5256896,-107.9276762,(970) 249-8641,7:00 AM - 4:00 PM,,America/Denver,Residential roofing; Metal roofing; Commercial roofing; Siding,
151,Pueblo Branch,3240 Mirror Ave,Pueblo,CO,81004-3789,UNITED STATES,38.2172399,-104.6339602,(719) 560-0401,7:00 AM - 4:00 PM,,America/Denver,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CO/Pueblo/Pueblo-CO-81004/151
187,Rifle Branch,185 Gemat Circle,Rifle,CO,81650,UNITED STATES,39.5429953,-107.7403971,(970) 625-4760,7:30 AM - 4:00 PM,,America/Denver,Residential roofing; Commercial roofing; Metal roofing; Siding,
26,Bridgeport Branch,1730 Commerce Dr,Bridgeport,CT,06605-2206,UNITED STATES,41.16920942,-73.21634148,(203) 696-0353,7:00 AM - 4:00 PM,,America/New_York,Siding; Residential roofing; Commercial roofing; Metal roofing,https://locations.qxo.com/CT/Bridgeport/Bridgeport-CT-06605/26
17,Danbury Branch,2 Great Pasture Road,Danbury,CT,06810-8128,UNITED STATES,41.386529,-73.426065,(475) 289-3696,7:00 AM - 4:00 PM,,America/New_York,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CT/DANBURY/DANBURY-CT-06810-8128/17
6,Hartford Branch,251 Locust Street,Hartford,CT,06114,UNITED STATES,41.7422392,-72.6684257,(860) 296-0855,7:00 AM - 4:00 PM,,America/New_York,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CT/Hartford/Hartford-CT-06114/0
1678,North Haven - Waterproofing,222 Universal Drive,North Haven,CT,06473-3659,UNITED STATES,41.34189667343125,-72.87170245,(203) 495-1177,6:00 AM - 4:00 PM,,America/New_York,Waterproofing,
18,Stamford Branch,316 Courtland Ave. Suite 102,Stamford,CT,06906-2269,UNITED STATES,41.068208,-73.51665,(475) 292-1800,7:00 AM - 4:00 PM,,America/New_York,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/CT/Stamford/Stamford-CT-06906/18
25,Wallingford Branch,780 North Colony Rd,Wallingford,CT,06492-2475,UNITED STATES,41.476104,-72.813854,(203) 774-0064,7:00 AM - 4:00 PM,,America/New_York,Commercial roofing; Siding; Residential roofing; Metal roofing,https://locations.qxo.com/CT/Wallingford/Wallingford-CT-06492-25/residential
320,Dover Branch,40 Saulsbury Rd.,Dover,DE,19904,UNITED STATES,39.1602058,-75.543293,(302) 264-9815,7:00 AM - 4:00 PM,,America/New_York,Residential roofing; Siding; Commercial roofing; Metal roofing,https://locations.qxo.com/DE/Dover/Dover-DE-19904/320
311,Lewes Branch,34112 Citizen Drive,Lewes,DE,19958,UNITED STATES,38.7441656,-75.1550678,(302) 644-4115,7:00 AM - 3:30 PM,,America/New_York,Siding; Residential roofing; Commercial roofing; Metal roofing,https://locations.qxo.com/DE/Lewes/Lewes-DE-19958/311
304,New Castle De Branch,9 Parkway Circle,New Castle,DE,19720,UNITED STATES,39.6637555,-75.6125342,(302) 322-8322,7:00 AM - 4:00 PM,,America/New_York,Residential roofing; Commercial roofing; Siding; Metal roofing,
1808,Boynton Beach Branch,3402 Quantum Blvd,Boynton Beach,FL,33426-8635,UNITED STATES,26.552831534083325,-80.08030426,(954) 298-4017,7:00 AM - 4:00 PM,,America/New_York,Residential roofing; Commercial roofing; Siding,https://locations.qxo.com/FL/Boynton-Beach/Boynton-Beach-FL-33426/1808
863,Deerfield Branch,1150 Sw 32Nd Way,Deerfield Beach,FL,33442,UNITED STATES,26.3020924,-80.147843,(954) 969-8000,7:00 AM - 4:00 PM,,America/New_York,Commercial roofing; Residential roofing; Siding; Metal roofing,https://locations.qxo.com/FL/Deerfield-Beach/Deerfield-Beach-FL-33442/863
885,Ft. Lauderdale Branch,3121 Sw First Terr,Fort Lauderdale,FL,33315-3307,UNITED STATES,26.0860584,-80.1412447,(954) 525-1158,7:00 AM - 4:00 PM,,America/New_York,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/FL/Fort-Lauderdale/Fort-Lauderdale-FL-33315/885
1802,Ft. Myers South Branch,8950 Alico Trade Center Rd.,Fort Myers,FL,33912-4554,UNITED STATES,26.509129413985065,-81.80866469,(239) 837-6784,6:30 AM - 4:00 PM,,America/New_York,Residential roofing; Commercial roofing; Siding; Metal roofing,https://locations.qxo.com/FL/Fort-Myers/Fort-Myers-FL-33912
